"filename", "language", "PowerShell", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "JSON", "HTML", "Python", "pip requirements", "TypeScript", "TypeScript JSX", "YAML", "JSON with Comments", "Java", "Batch", "Java Properties", "XML", "MS SQL", "comment", "blank", "total"
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\eyash\news_bridge\backend\ai-assistant-service\router.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 17
"c:\Users\eyash\news_bridge\backend\ai-service\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\eyash\news_bridge\backend\ai-service\ingestion\embedder.py", "Python", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 39
"c:\Users\eyash\news_bridge\backend\ai-service\ingestion\fetcher.py", "Python", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24
"c:\Users\eyash\news_bridge\backend\ai-service\ingestion\geo_extractor.py", "Python", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 19, 164
"c:\Users\eyash\news_bridge\backend\ai-service\ingestion\processor.py", "Python", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 40
"c:\Users\eyash\news_bridge\backend\ai-service\llm\generator.py", "Python", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 34
"c:\Users\eyash\news_bridge\backend\ai-service\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 33, 151
"c:\Users\eyash\news_bridge\backend\ai-service\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
